taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- 0
61 -- 1 -- 100 -- 669 -- 318 -- 15.093413 -- 0.178 -- 1
72 -- 1 -- 102 -- 671 -- 318 -- 15.162395 -- 0.167 -- 1
69 -- 1 -- 96 -- 665 -- 318 -- 15.200898 -- 1.119 -- 1
71 -- 1 -- 101 -- 670 -- 318 -- 15.383845 -- 0.181 -- 1
70 -- 1 -- 94 -- 663 -- 318 -- 15.400598 -- 0.181 -- 1
50 -- 1 -- 89 -- 658 -- 318 -- 15.486379 -- 0.143 -- 1
79 -- 1 -- 94 -- 663 -- 318 -- 15.633443 -- 0.161 -- 1
77 -- 1 -- 101 -- 670 -- 318 -- 15.67164 -- 1.1 -- 1
56 -- 1 -- 94 -- 663 -- 318 -- 15.798273 -- 1.1 -- 1
49 -- 1 -- 102 -- 671 -- 318 -- 15.823988 -- 0.161 -- 1
80 -- 1 -- 101 -- 671 -- 318 -- 15.825752 -- 0.17 -- 1
78 -- 1 -- 101 -- 670 -- 318 -- 15.953387 -- 0.176 -- 1
51 -- 1 -- 100 -- 669 -- 318 -- 16.000227 -- 0.169 -- 1
74 -- 1 -- 105 -- 672 -- 318 -- 19.492463 -- 0.091 -- 1
44 -- 1 -- 92 -- 661 -- 318 -- 17.504929 -- 0.806 -- 1
54 -- 1 -- 98 -- 667 -- 318 -- 18.927698 -- 0.092 -- 1
62 -- 1 -- 100 -- 669 -- 318 -- 21.316404 -- 0.775 -- 1
142 -- 1 -- 199 -- 1085 -- 318 -- 16.055455 -- 0.973 -- 2
137 -- 1 -- 201 -- 1085 -- 318 -- 16.682997 -- 0.984 -- 2
143 -- 1 -- 450 -- 1331 -- 318 -- 24.57202 -- 0.913 -- 2
138 -- 1 -- 438 -- 1318 -- 318 -- 29.176614 -- 0.78 -- 2
141 -- 1 -- 441 -- 1320 -- 318 -- 31.588855 -- 0.78 -- 2
140 -- 1 -- 444 -- 1324 -- 318 -- 31.900221 -- 0.779 -- 2
139 -- 1 -- 440 -- 1320 -- 318 -- 32.159803 -- 0.778 -- 2
166 -- 1 -- 454 -- 1334 -- 318 -- 26.045624 -- 0.931 -- 2
164 -- 1 -- 460 -- 1335 -- 318 -- 26.935303 -- 0.876 -- 2
177 -- 1 -- 216 -- 1095 -- 318 -- 22.504012 -- 0.75 -- 2
189 -- 1 -- 451 -- 1325 -- 318 -- 18.721277 -- 0.97 -- 2
190 -- 1 -- 457 -- 1332 -- 318 -- 19.601023 -- 0.9399999999999999 -- 2
192 -- 1 -- 460 -- 1332 -- 318 -- 19.629968 -- 0.9429999999999999 -- 2
191 -- 1 -- 457 -- 1332 -- 318 -- 19.885109 -- 0.9429999999999999 -- 2
163 -- 1 -- 453 -- 1333 -- 318 -- 34.977735 -- 0.719 -- 2
174 -- 1 -- 455 -- 1330 -- 318 -- 29.106029 -- 0.803 -- 2
182 -- 1 -- 453 -- 1327 -- 318 -- 28.457994 -- 0.649 -- 2
168 -- 1 -- 450 -- 1330 -- 318 -- 29.671925 -- 0.756 -- 2
183 -- 1 -- 457 -- 1329 -- 318 -- 29.245998 -- 0.633 -- 2
184 -- 1 -- 457 -- 1332 -- 318 -- 29.733346 -- 0.624 -- 2
181 -- 1 -- 457 -- 1331 -- 318 -- 30.002988 -- 0.613 -- 2
165 -- 1 -- 449 -- 1329 -- 318 -- 36.697583 -- 0.6909999999999999 -- 2
170 -- 1 -- 462 -- 1335 -- 318 -- 31.437073 -- 0.748 -- 2
169 -- 1 -- 454 -- 1335 -- 318 -- 31.605127 -- 0.75 -- 2
212 -- 1 -- 456 -- 1331 -- 318 -- 18.601524 -- 0.994 -- 2
194 -- 1 -- 453 -- 1327 -- 318 -- 25.174426 -- 0.969 -- 2
196 -- 1 -- 457 -- 1332 -- 318 -- 25.310032 -- 0.964 -- 2
171 -- 1 -- 455 -- 1330 -- 318 -- 32.199748 -- 0.74 -- 2
199 -- 1 -- 447 -- 1322 -- 318 -- 23.964053 -- 0.966 -- 2
167 -- 1 -- 458 -- 1334 -- 318 -- 32.518705 -- 0.704 -- 2
172 -- 1 -- 460 -- 1335 -- 318 -- 32.639627 -- 0.742 -- 2
213 -- 1 -- 457 -- 1331 -- 318 -- 19.59236 -- 0.96 -- 2
305 -- 1 -- 101 -- 407 -- 320 -- 2.190102 -- 0.984 -- 3
188 -- 1 -- 362 -- 1244 -- 318 -- 26.162056 -- 0.822 -- 2
173 -- 1 -- 460 -- 1334 -- 318 -- 33.012051 -- 0.73 -- 2
214 -- 1 -- 457 -- 1331 -- 318 -- 20.001265 -- 0.951 -- 2
193 -- 1 -- 458 -- 1332 -- 318 -- 26.708442 -- 0.962 -- 2
195 -- 1 -- 457 -- 1332 -- 318 -- 26.714909 -- 0.968 -- 2
197 -- 1 -- 457 -- 1332 -- 318 -- 25.057355 -- 0.976 -- 2
175 -- 1 -- 462 -- 1335 -- 318 -- 33.81893 -- 0.738 -- 2
222 -- 1 -- 456 -- 1330 -- 318 -- 18.684618 -- 0.995 -- 2
198 -- 1 -- 453 -- 1327 -- 318 -- 25.703201 -- 0.956 -- 2
176 -- 1 -- 454 -- 1334 -- 318 -- 34.26258 -- 0.714 -- 2
179 -- 1 -- 457 -- 1332 -- 318 -- 33.82372 -- 0.714 -- 2
186 -- 1 -- 451 -- 1332 -- 318 -- 34.034275 -- 0.733 -- 2
225 -- 1 -- 459 -- 1333 -- 318 -- 19.156804 -- 0.995 -- 2
219 -- 1 -- 452 -- 1327 -- 318 -- 19.14106 -- 0.988 -- 2
223 -- 1 -- 463 -- 1338 -- 318 -- 19.155489 -- 0.991 -- 2
220 -- 1 -- 459 -- 1331 -- 318 -- 19.170917 -- 0.978 -- 2
180 -- 1 -- 452 -- 1327 -- 318 -- 34.112324 -- 0.712 -- 2
224 -- 1 -- 463 -- 1337 -- 318 -- 19.298419 -- 0.992 -- 2
185 -- 1 -- 453 -- 1327 -- 318 -- 34.358492 -- 0.714 -- 2
315 -- 1 -- 99 -- 404 -- 320 -- 2.489695 -- 0.994 -- 3
218 -- 1 -- 456 -- 1331 -- 318 -- 19.548886 -- 0.973 -- 2
221 -- 1 -- 423 -- 1298 -- 318 -- 19.797203 -- 0.97 -- 2
216 -- 1 -- 450 -- 1331 -- 318 -- 22.79469 -- 0.981 -- 2
267 -- 1 -- 101 -- 406 -- 320 -- 12.497012 -- 0.196 -- 3
187 -- 1 -- 457 -- 1331 -- 318 -- 30.566378 -- 0.822 -- 2
325 -- 1 -- 99 -- 404 -- 320 -- 2.716363 -- 0.992 -- 3
233 -- 1 -- 457 -- 1337 -- 318 -- 22.177546 -- 0.999 -- 2
228 -- 1 -- 457 -- 1337 -- 318 -- 23.576383 -- 0.999 -- 2
217 -- 1 -- 451 -- 1331 -- 318 -- 24.059941 -- 0.995 -- 2
215 -- 1 -- 450 -- 1331 -- 318 -- 26.576018 -- 0.972 -- 2
234 -- 1 -- 457 -- 1337 -- 318 -- 23.901447 -- 1 -- 2
230 -- 1 -- 453 -- 1333 -- 318 -- 24.030229 -- 0.989 -- 2
235 -- 1 -- 453 -- 1333 -- 318 -- 24.170292 -- 1 -- 2
236 -- 1 -- 457 -- 1338 -- 318 -- 24.359811 -- 1 -- 2
226 -- 1 -- 457 -- 1337 -- 318 -- 24.764495 -- 1.001 -- 2
229 -- 1 -- 457 -- 1338 -- 318 -- 24.533995 -- 0.997 -- 2
227 -- 1 -- 457 -- 1338 -- 318 -- 24.624147 -- 0.998 -- 2
345 -- 1 -- 99 -- 404 -- 320 -- 2.748984 -- 0.991 -- 3
240 -- 1 -- 294 -- 1177 -- 318 -- 26.44489 -- 0.782 -- 2
211 -- 1 -- 362 -- 1238 -- 318 -- 29.768401 -- 0.535 -- 2
202 -- 1 -- 458 -- 1332 -- 318 -- 34.465389 -- 0.545 -- 2
355 -- 1 -- 99 -- 404 -- 320 -- 2.607633 -- 0.993 -- 3
178 -- 1 -- 448 -- 1323 -- 318 -- 43.623919 -- 0.5659999999999999 -- 2
231 -- 1 -- 455 -- 1335 -- 318 -- 28.686855 -- 0.837 -- 2
200 -- 1 -- 449 -- 1324 -- 318 -- 36.191608 -- 0.51 -- 2
201 -- 1 -- 458 -- 1332 -- 318 -- 37.232717 -- 0.499 -- 2
203 -- 1 -- 454 -- 1328 -- 318 -- 37.729051 -- 0.49 -- 2
323 -- 1 -- 202 -- 1082 -- 318 -- 12.175391 -- 0.995 -- 2
232 -- 1 -- 457 -- 1338 -- 318 -- 32.281513 -- 0.781 -- 2
365 -- 1 -- 99 -- 404 -- 320 -- 2.107344 -- 0.989 -- 3
204 -- 1 -- 454 -- 1332 -- 318 -- 40.968284 -- 0.587 -- 2
205 -- 1 -- 452 -- 1332 -- 318 -- 42.931963 -- 0.59 -- 2
317 -- 1 -- 458 -- 1332 -- 318 -- 19.009428 -- 0.948 -- 2
318 -- 1 -- 454 -- 1328 -- 318 -- 19.191573 -- 0.944 -- 2
206 -- 1 -- 452 -- 1332 -- 318 -- 43.745719 -- 0.597 -- 2
321 -- 1 -- 458 -- 1332 -- 318 -- 19.456297 -- 0.93 -- 2
340 -- 1 -- 454 -- 1328 -- 318 -- 17.830562 -- 0.994 -- 2
336 -- 1 -- 458 -- 1333 -- 318 -- 18.515544 -- 0.992 -- 2
339 -- 1 -- 458 -- 1333 -- 318 -- 18.322512 -- 0.996 -- 2
210 -- 1 -- 452 -- 1333 -- 318 -- 40.868529 -- 0.626 -- 2
209 -- 1 -- 452 -- 1332 -- 318 -- 41.769314 -- 0.595 -- 2
208 -- 1 -- 454 -- 1333 -- 318 -- 41.784092 -- 0.607 -- 2
375 -- 1 -- 99 -- 404 -- 320 -- 2.017881 -- 0.988 -- 3
311 -- 1 -- 456 -- 1331 -- 318 -- 23.516367 -- 0.984 -- 2
261 -- 1 -- 430 -- 1311 -- 318 -- 34.106083 -- 0.705 -- 2
313 -- 1 -- 458 -- 1332 -- 318 -- 24.004812 -- 0.969 -- 2
316 -- 1 -- 459 -- 1332 -- 318 -- 24.032896 -- 0.963 -- 2
314 -- 1 -- 453 -- 1328 -- 318 -- 24.196001 -- 0.962 -- 2
207 -- 1 -- 453 -- 1327 -- 318 -- 43.905288 -- 0.602 -- 2
312 -- 1 -- 458 -- 1332 -- 318 -- 25.132942 -- 0.98 -- 2
319 -- 1 -- 452 -- 1332 -- 318 -- 24.357746 -- 0.965 -- 2
322 -- 1 -- 451 -- 1325 -- 318 -- 23.957514 -- 0.961 -- 2
341 -- 1 -- 452 -- 1333 -- 318 -- 21.597094 -- 1 -- 2
347 -- 1 -- 291 -- 1174 -- 318 -- 18.268456 -- 0.999 -- 2
320 -- 1 -- 457 -- 1332 -- 318 -- 24.885366 -- 0.966 -- 2
337 -- 1 -- 458 -- 1332 -- 318 -- 23.842625 -- 0.998 -- 2
335 -- 1 -- 458 -- 1333 -- 318 -- 24.373402 -- 0.998 -- 2
385 -- 1 -- 100 -- 406 -- 320 -- 2.513607 -- 0.99 -- 3
342 -- 1 -- 459 -- 1333 -- 318 -- 23.079359 -- 0.997 -- 2
344 -- 1 -- 452 -- 1333 -- 318 -- 22.834608 -- 0.997 -- 2
338 -- 1 -- 454 -- 1333 -- 318 -- 25.176645 -- 1 -- 2
343 -- 1 -- 453 -- 1333 -- 318 -- 24.016454 -- 1 -- 2
237 -- 1 -- 457 -- 1337 -- 318 -- 45.438439 -- 0.844 -- 2
395 -- 1 -- 101 -- 406 -- 320 -- 2.730888 -- 0.991 -- 3
239 -- 1 -- 460 -- 1338 -- 318 -- 45.898316 -- 0.52 -- 2
346 -- 1 -- 453 -- 1333 -- 318 -- 23.157621 -- 1 -- 2
238 -- 1 -- 463 -- 1338 -- 318 -- 46.440192 -- 0.527 -- 2
350 -- 1 -- 452 -- 1332 -- 318 -- 24.065757 -- 1 -- 2
348 -- 1 -- 455 -- 1335 -- 318 -- 24.306695 -- 0.999 -- 2
349 -- 1 -- 458 -- 1338 -- 318 -- 25.06399 -- 0.998 -- 2
351 -- 1 -- 457 -- 1337 -- 318 -- 24.746732 -- 1 -- 2
352 -- 1 -- 463 -- 1337 -- 318 -- 25.081058 -- 1.001 -- 2
405 -- 1 -- 99 -- 404 -- 320 -- 2.700391 -- 0.992 -- 3
286 -- 1 -- 457 -- 1331 -- 318 -- 42.53255 -- 0.414 -- 2
283 -- 1 -- 451 -- 1331 -- 318 -- 45.078809 -- 0.84 -- 2
260 -- 1 -- 267 -- 1144 -- 318 -- 50.530587 -- 0.365 -- 2
363 -- 1 -- 413 -- 1289 -- 318 -- 28.985207 -- 0.555 -- 2
331 -- 1 -- 448 -- 1322 -- 318 -- 39.893813 -- 0.456 -- 2
359 -- 1 -- 465 -- 1337 -- 318 -- 32.453111 -- 0.5679999999999999 -- 2
358 -- 1 -- 464 -- 1337 -- 318 -- 32.788353 -- 0.58 -- 2
435 -- 1 -- 101 -- 406 -- 320 -- 2.157034 -- 0.99 -- 3
328 -- 1 -- 456 -- 1331 -- 318 -- 41.550689 -- 0.456 -- 2
353 -- 1 -- 452 -- 1332 -- 318 -- 36.139546 -- 0.662 -- 2
327 -- 1 -- 456 -- 1331 -- 318 -- 42.230052 -- 0.455 -- 2
144 -- 1 -- 456 -- 1336 -- 318 -- 93.29130000000001 -- 0.245 -- 2
145 -- 1 -- 454 -- 1334 -- 318 -- 93.593906 -- 0.26 -- 2
357 -- 1 -- 452 -- 1332 -- 318 -- 36.30051 -- 0.65 -- 2
354 -- 1 -- 457 -- 1337 -- 318 -- 38.813517 -- 0.659 -- 2
146 -- 1 -- 458 -- 1338 -- 318 -- 95.361492 -- 0.262 -- 2
387 -- 1 -- 460 -- 1335 -- 318 -- 22.463701 -- 0.996 -- 2
356 -- 1 -- 457 -- 1337 -- 318 -- 38.862104 -- 0.648 -- 2
386 -- 1 -- 465 -- 1340 -- 318 -- 23.034117 -- 0.999 -- 2
360 -- 1 -- 452 -- 1333 -- 318 -- 36.750103 -- 0.664 -- 2
388 -- 1 -- 466 -- 1340 -- 318 -- 22.845956 -- 1 -- 2
329 -- 1 -- 454 -- 1328 -- 318 -- 45.698806 -- 0.546 -- 2
330 -- 1 -- 451 -- 1331 -- 318 -- 46.329117 -- 0.5669999999999999 -- 2
361 -- 1 -- 466 -- 1340 -- 318 -- 36.169705 -- 0.6860000000000001 -- 2
362 -- 1 -- 458 -- 1337 -- 318 -- 35.477504 -- 0.6870000000000001 -- 2
389 -- 1 -- 456 -- 1334 -- 318 -- 23.829792 -- 0.998 -- 2
391 -- 1 -- 454 -- 1334 -- 318 -- 23.63699 -- 0.998 -- 2
326 -- 1 -- 451 -- 1332 -- 318 -- 47.187846 -- 0.5610000000000001 -- 2
445 -- 1 -- 102 -- 407 -- 321 -- 2.805482 -- 0.991 -- 3
284 -- 1 -- 452 -- 1327 -- 318 -- 56.439 -- 0.427 -- 2
390 -- 1 -- 466 -- 1340 -- 318 -- 24.543146 -- 1 -- 2
