task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
462 -- 1 -- 286 -- 0 -- 714 -- 9.256 -- 0 -- 2
465 -- 1 -- 245 -- 0 -- 670 -- 23.599 -- 0 -- 2
469 -- 1 -- 247 -- 0 -- 670 -- 22.98 -- 0 -- 2
471 -- 1 -- 292 -- 0 -- 715 -- 7.346 -- 0 -- 2
473 -- 1 -- 287 -- 0 -- 715 -- 11.159 -- 0 -- 2
474 -- 1 -- 248 -- 0 -- 670 -- 24.726 -- 0 -- 2
475 -- 1 -- 284 -- 0 -- 715 -- 10.775 -- 0 -- 2
477 -- 1 -- 285 -- 0 -- 714 -- 7.607 -- 0 -- 2
478 -- 1 -- 246 -- 0 -- 670 -- 24.24 -- 0 -- 2
483 -- 1 -- 242 -- 0 -- 670 -- 21.334 -- 0 -- 2
484 -- 1 -- 290 -- 0 -- 715 -- 7.806 -- 0 -- 2
486 -- 1 -- 285 -- 0 -- 715 -- 10.232 -- 0 -- 2
487 -- 1 -- 285 -- 0 -- 670 -- 22.986 -- 0 -- 2
492 -- 1 -- 277 -- 0 -- 670 -- 19.889 -- 0 -- 2
494 -- 1 -- 272 -- 0 -- 670 -- 17.136 -- 0 -- 2
505 -- 1 -- 245 -- 0 -- 670 -- 22.631 -- 0 -- 2
508 -- 1 -- 287 -- 0 -- 714 -- 7.619 -- 0 -- 2
509 -- 1 -- 251 -- 0 -- 670 -- 16.885 -- 0 -- 2
511 -- 1 -- 254 -- 0 -- 670 -- 29.249 -- 0 -- 2
514 -- 1 -- 241 -- 0 -- 670 -- 17.366 -- 0 -- 2
518 -- 1 -- 268 -- 0 -- 670 -- 22.085 -- 0 -- 2
521 -- 1 -- 285 -- 0 -- 714 -- 9.509 -- 0 -- 2
526 -- 1 -- 287 -- 0 -- 714 -- 8.936 -- 0 -- 2
527 -- 1 -- 248 -- 0 -- 670 -- 28.366 -- 0 -- 2
528 -- 1 -- 287 -- 0 -- 714 -- 8.867 -- 0 -- 2
533 -- 1 -- 279 -- 0 -- 670 -- 23.073 -- 0 -- 2
536 -- 1 -- 255 -- 0 -- 670 -- 29.555 -- 0 -- 2
538 -- 1 -- 250 -- 0 -- 670 -- 22.892 -- 0 -- 2
541 -- 1 -- 285 -- 0 -- 714 -- 8.784 -- 0 -- 2
550 -- 1 -- 285 -- 0 -- 714 -- 9.574 -- 0 -- 2
567 -- 1 -- 283 -- 0 -- 670 -- 29.804 -- 0 -- 2
568 -- 1 -- 283 -- 0 -- 714 -- 9.769 -- 0 -- 2
571 -- 1 -- 291 -- 0 -- 714 -- 9.117 -- 0 -- 2
574 -- 1 -- 239 -- 0 -- 670 -- 19.057 -- 0 -- 2
577 -- 1 -- 286 -- 0 -- 714 -- 11.074 -- 0 -- 2
584 -- 1 -- 286 -- 0 -- 714 -- 8.723 -- 0 -- 2
591 -- 1 -- 253 -- 0 -- 670 -- 23.605 -- 0 -- 2
595 -- 1 -- 286 -- 0 -- 714 -- 8.14 -- 0 -- 2
596 -- 1 -- 247 -- 0 -- 670 -- 23.536 -- 0 -- 2
599 -- 1 -- 286 -- 0 -- 714 -- 8.713 -- 0 -- 2
602 -- 1 -- 247 -- 0 -- 670 -- 25.194 -- 0 -- 2
603 -- 1 -- 279 -- 0 -- 670 -- 23.471 -- 0 -- 2
606 -- 1 -- 288 -- 0 -- 714 -- 10.752 -- 0 -- 2
612 -- 1 -- 287 -- 0 -- 714 -- 10.334 -- 0 -- 2
617 -- 1 -- 286 -- 0 -- 714 -- 11.124 -- 0 -- 2
623 -- 1 -- 285 -- 0 -- 714 -- 10.448 -- 0 -- 2
627 -- 1 -- 240 -- 0 -- 670 -- 23.779 -- 0 -- 2
629 -- 1 -- 293 -- 0 -- 670 -- 21.736 -- 0 -- 2
